Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AXTI270115C00020000,3/12/2026  3:06 PM,20,34.99,0.00,0.00,0.00,0.00%,192,0,0.00%
AXTI270115C00025000,3/13/2026  11:27 AM,25,35.77,0.00,0.00,0.00,0.00%,-,0,0.00%
AXTI270115C00030000,3/11/2026  10:50 AM,30,28.50,0.00,0.00,0.00,0.00%,1,0,0.00%
AXTI270115C00035000,3/13/2026  11:57 AM,35,33.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AXTI270115C00040000,3/13/2026  1:25 PM,40,30.40,0.00,0.00,0.00,0.00%,-,0,0.00%
AXTI270115C00045000,3/13/2026  3:37 PM,45,26.99,0.00,0.00,0.00,0.00%,23,0,0.00%
AXTI270115C00050000,3/13/2026  2:06 PM,50,26.27,0.00,0.00,0.00,0.00%,-,0,0.78%
AXTI270115C00055000,3/13/2026  1:57 PM,55,25.50,0.00,0.00,0.00,0.00%,-,0,3.13%
AXTI270115C00060000,3/13/2026  3:11 PM,60,23.50,0.00,0.00,0.00,0.00%,-,0,6.25%
AXTI270115C00065000,3/13/2026  3:16 PM,65,21.96,0.00,0.00,0.00,0.00%,-,0,6.25%
AXTI270115C00070000,3/13/2026  3:03 PM,70,21.00,0.00,0.00,0.00,0.00%,-,0,6.25%
